place_number;booking_weezpay_account;stall_name;drink_categories;food_types
744.32;2356-002;Stand El Tipico;min?rales, bi?res, liquoreux, cocktails;Sp?cialit?s Am?rique latine
306.03;2162-002;FC Cortaillod;min?rales, vins, bi?res, cocktails;Burgers, P?tes, Sandwich, Steak vigneron, Lasagnes
780.11;2176-002;Neuch?tel Gym;min?rales, vins, bi?res;
780.03;2139-002;FC Helvetia;min?rales, vins, bi?res;Steak vigneron, Saucisse
732.02;2118-002;Association des anciens ?l?ves de l'ESCN;min?rales, vins, bi?res;
387.01;2475-002;Stand de RTN;min?rales, vins, bi?res, cocktails;Grillades, Raclette, Sp?cialit?s Asiatiques, Steak vigneron
792.07;2150-002;Stand de Gangi Dino Loris;min?rales, bi?res, liquoreux, cocktails;Frites + sauces
537.03;2071-002;Choucroute;min?rales, vins, bi?res;Choucroute
648.02;2087-002;Au coin de la Poste;min?rales, bi?res;Burgers, Poissons, Steak vigneron, gaufres et frites
657.06;2242-002;Stand de Ferreira Antonio;min?rales, liquoreux;Sp?cialit?s Portugaises
792.09;2409-002;Stand de Brasserie du Jura;;
198.06;2264-003;Stand de Kilian Winz;min?rales, vins, bi?res;
240.01;2087-003;Stand de Gamboni Aline;;
726.12;2486-002;Stand de l'association PRISME;;
648.15;2252-002;Stand de Ayache Bruno;min?rales;Burgers, American hot dog et frites fra?ches
726.10;2252-003;Burgerland 2;;Burgers
744.05;2124-002;Santos Reyes Jeffry;min?rales, vins, bi?res, cocktails;Sp?cialit?s Am?rique latine
726.29;2486-003;Stand de l'association PRISME;min?rales, vins, bi?res;Raclette
276.12;2388-002;Stand de Jeanne ganaj;min?rales, vins, bi?res, liquoreux, cocktails;
045.08;2493-002;Stand du Lions Club NE lac et montagnes;min?rales, vins, bi?res, cocktails;Planchettes ap?ro (Fromages, pain, viande s?ch?e, etc)
276.02;2447-002;Stand de AMFCV;min?rales, vins, bi?res, liquoreux, cocktails;
378.06;2202-002;Mentor Kalanderi;;
378.04;2202-003;Mentor Kalanderi;;
201.02;2202-004;Mentor Kalanderi;;
648.40;2225-002;Stand de Jo?l Schwab;;
780.05;2141-002;Famiglia Leccese;min?rales, vins, bi?res;Grillades, Poissons
157.01;2212-002;Stand de Mahmoud Abu-Shahin;;Cr?pes
537.17;2259-002;Stand Latitude Br?sil;min?rales, vins, bi?res, liquoreux, cocktails;
780.19;2222-002;Okapi Great Food and Coffee;;
205.03;2040-002;Judo Club Cortaillod;min?rales, vins, bi?res, liquoreux, cocktails;
387.14;2063-002;FSG Corcelles-Cormondr?che;min?rales, vins, bi?res, cocktails;Grillades, Steak vigneron
648.32;2104-002;Stand de Vasquez Richard;min?rales, bi?res, liquoreux, cocktails;Burgers
387.13;2455-002;Stand de lourdyhampe;min?rales;Gaufres
537.30;2082-002;Stand de Tarantino Melissa;min?rales, vins, bi?res, cocktails;Grillades, Tortillas
654.01;2197-002;Stand de Micha?l Oberh?nsli;;
657.21;2208-002;Stand de Gary John Pethoud;;
648.38;2106-003;Stand de Chamorro Luz;min?rales, vins, bi?res, liquoreux;Sandwich, empanadas pan con chicharones
537.31;2235-002;Stand de Senol ?zkaya;;
627.04;2462-002;Stand de lequaiduport.ne;;
732.14;2376-002;ASI AUDAX-FRIUL;min?rales, vins, bi?res, liquoreux, cocktails;
198.07;2027-002;Stand de Tupani Besim;min?rales;Burgers
780.08;2248-002;Sapori Italiani;min?rales, vins, bi?res, liquoreux, cocktails;Risotto
198.11;2451-003;Stand Insieme / Perce-Neige;min?rales, vins, bi?res;Sandwich, Frites, Croque-Monsieur, Gaufres
732.12;2466-002;Stand ASI Audax F?minines;min?rales, vins, bi?res, liquoreux, cocktails;
780.09;2175-002;Stand du FUN;min?rales, vins, bi?res, cocktails;Confiserie, Sandwich, tartelette, tartine, patisserie
378.08;2214-002;Hotel du March?;;
198.10;2274-002;Stand de Zymberi;;Churros, Cr?pes, Gaufres,  Marrons chauds
780.01;2251-003;Stand du Brotary Club;min?rales, vins, bi?res, liquoreux, cocktails;
384.26;2186-003;Stand des Neuch?tel Knights;min?rales, vins, bi?res, liquoreux, cocktails;
045.03;2303-003;Stand de willy bonnaval;min?rales, vins, bi?res, cocktails;Churros, Confiserie
045.05;2359-002;Softice Neuch?tel;min?rales;Burgers, Confiserie, Cr?pes, Pizza, Sp?cialit?s Orientales, Glaces
537.05;2167-002;Stand de Khayrallah Nassim;min?rales, vins, bi?res, liquoreux;
378.10;2229-002;Stand de Catherine Reichl;;
205.01;2227-002;Stand de Kaya Devrim;;
198.17;2501-002;TexMexFood;;Burgers, Sp?cialit?s Am?rique latine, Plats TexMex tels que burritos, fajitas, texas wrap, frites, poulet frit
351.01;2237-002;Stand de Isa Bal;;
537.21;2303-004;Stand de willy bonnaval;min?rales, granita sans alcool;Churros, Cr?pes
387.11;2125-005;Stand de Duong Khanh Hiep;;Sp?cialit?s Asiatiques
045.12;2525-002;Bao Boys / Ichi Ramen;min?rales, vins, bi?res;Sp?cialit?s Orientales
537.11;2167-003;Stand de Khayrallah Nassim;min?rales, vins, bi?res, liquoreux, cocktails;
537.13;2167-004;Stand de Khayrallah Nassim;min?rales, vins, bi?res, liquoreux;
732.04;2167-006;Stand de Khayrallah Nassim - nourriture libanaise;;Sp?cialit?s Orientales
732.06;2167-005;Stand de Khayrallah Nassim;min?rales, vins, bi?res, liquoreux, cocktails;
648.04;2393-002;Stand de Bestevents sarl;min?rales;Burgers, kebab, hamburger, balkans
198.08;2318-003;Stand de Les Verts;min?rales, vins, bi?res;Soupe ? la courge, pain, fromage + autre ? voir
201.07;2220-002;Le Sud Restaurant;;
201.01;2220-003;Stand A l'Ouest;min?rales, vins, bi?res, liquoreux, cocktails;
276.01;2303-005;Bonnaval - churros;;
306.07;2442-002;MGM Caf?;min?rales, vins, bi?res, liquoreux, cocktails;
744.78;2183-002;Dimitri Engel & La Cantine;min?rales, vins;Burgers
744.76;2183-006;Escargot Rouge Invit? Swiss Wine Vaud;vins;P?t? Vaudois
744.74;2183-003;Vins Alain Gerber & Silex;vins;Planchette du terroir fa?on poisson
744.72;2183-005;Les Caves de la B?roche & EpiQure;vins, bi?res;
792.05;2149-002;CIANE;min?rales, vins, bi?res, liquoreux, cocktails;Sp?cialit?s Africaines, Grillades, poissons, bananes beignets
744.01;2131-002;Stand de Velez Gonzalez Yonatan;min?rales, vins, bi?res, liquoreux, cocktails;Sp?cialit?s Am?rique latine
198.19;2036-002;Buffalo Bill;min?rales, bi?res, liquoreux, cocktails;
384.03;2537-002;Stand de ilir bytyqi;min?rales, vins;Burgers
744.70;2183-007;Domaine Christalain & GSN;min?rales, vins;Planchette neuch?teloise (tomme, saucisson et pain)
744.68;2183-008;Domaine Saint-S?baste & FC Saint-Blaise;vins;
744.66;2183-009;Sionwine.ch invit? Swiss Wine Valais;vins;Sandwich
744.64;2183-010;Brasserie de la Meute;min?rales, bi?res, liquoreux;
744.62;2183-011;La Grillette & Domaine Grisoni;vins;
744.60;2183-012;Cave des Lauriers et Go?t et R?gion;min?rales, vins, liquoreux;Fondue au fromage
744.58;2183-013;Vins Nicolet & Vouga;min?rales, vins;
744.50;2183-014;Maison de la Tourbi?re;;Raclette
744.48;2183-015;Domaine Divernois;min?rales, vins;
744.56;2183-016;Poissonnerie Berger;;Friture de poisson du lac et frite
744.44;2183-017;Absinthe La Valote Martin;vins, liquoreux;
744.42;2183-018;Boucherie du Palais Invit? Regio Garantie Gen?ve;min?rales;D?lice Genevois Pistach?, Petit P?t? Genevois, Croissant au Jambon Traditionnel, Croissant Genevois , saucisson secs au Gamaret, Saucisson sec de Porc de Jussy, Filet de Porc sec de Jussy, Coppa de Porc de Jussy, Saucisse ? l'Ail de Jussy, Planchette Genevoise
744.40;2183-019;Swiss Wine Gen?ve;vins;
744.38;2183-020;Caves de la Ville;vins;
744.36;2183-021;Brasserie B'art;min?rales, bi?res;Burgers
537.10;2405-002;Stand de Kheiri;min?rales, vins, bi?res, liquoreux;Burgers, Grillades, Kebab, Sandwich, Sp?cialit?s Africaines, Sp?cialit?s Orientales
537.25;2076-002;Stand de FC DM Surfaces;min?rales, vins, bi?res, liquoreux, cocktails;Steak vigneron
537.19;2303-006;Stand de willy bonnaval;cocktails;Churros
384.14;2543-002;Stand de k hamma;;Sandwich, Sp?cialit? Grec
387.05;2545-003;Stand de ncswiss;min?rales, vins, bi?res, liquoreux, cocktails;Churros, nougat
648.34;2171-002;Stand de Franck Pellet;;Churros, Cr?pes
657.02;2303-007;Stand de willy bonnaval;;Sucrerie
537.04;2252-004;Chick n chips;;Nuggets poulet
744.18;2304-002;Stand de Hoppy Truck Company;min?rales, bi?res, liquoreux;
045.24;2023-002;LABELFRITES;min?rales;Steak vigneron, Hot-dog , Merguez, Frites
198.03;2054-002;Stand de Festi'neuch;min?rales, vins, bi?res, liquoreux, cocktails;
726.07;2539-002;Le valais chez vous;bi?res, cocktails;Raclette
045.06;2547-002;Mariana Cr?pes et Titi Raclette;min?rales, vins, bi?res;Churros, Cr?pes, Raclette
045.14;2275-002;poulet secret;;Burgers, Sp?cialit?s Am?rique latine, poulet frite
744.28;2468-002;Stand Bifadoro;;Sp?cialit?s Portugaises
657.26;2158-002;Stand de Lopes Carlos;min?rales, vins, bi?res, liquoreux, cocktails;Churros, Sp?cialit?s Portugaises
732.16;2540-002;BELLA PALOMO - Chilean Food & Point 0;min?rales,  toutes les boissons sans alcools (mocktails, bi?res, vins, mousseux..),  bar ? jus de fruits;Sandwich, Sp?cialit?s Am?rique latine, Hot-dog et frites
537.29;2461-002;HC Neuch?tel Young Sprinters;min?rales, vins, bi?res, liquoreux, cocktails;Raclette, Sandwich
648.06;2413-003;Stand de Tamara;min?rales, liquoreux;Churros, Cr?pes
744.20;2413-004;Stand de Tamara;min?rales, liquoreux;
537.08;2517-002;Stand de regaltandoori;min?rales, vins, bi?res;Cuisine Indien
627.06;2217-002;Stand de Jonathan Perret;min?rales, vins, bi?res, liquoreux;
537.26;2076-003;Stand Vekteur;min?rales, vins, bi?res, liquoreux, cocktails;
537.27;2541-002;Stand Partenaires FDV;min?rales, vins, bi?res, liquoreux, cocktails;Buffet froid compos? de diverses p?tisseries italiennes
198.13;2322-002;Stand de eric beguelin;vins, bi?res;Hot fondue
198.15;2531-002;YAKIMI;;Sp?cialit?s Asiatiques
384.12;2551-002;La Terra del Sud di Salento;min?rales, vins, bi?res;
384.15;2528-002;Cow on the Road;;Burgers, Sandwich, Tartares
726.02;2524-002;Hans Gr?ezi;;Raclette, Sandwich, R?sti frite sauce gruy?re, steack raclette sandwich
744.26;2542-002;L'Oeuforie;;Burgoeufs TM
045.16;2474-002;BELGA;min?rales, bi?res;Sp?cialit?s belges (frites, snacks, mitraillettes)
744.03;2285-002;Stand de Asia-Food;;Sp?cialit?s Asiatiques
384.08;2398-002;Stand de boucherie artisanal de L?Etivaz;;Grillades, mac raclette
648.21;2361-002;Stand de fati yoann;min?rales, vins, bi?res, liquoreux, cocktails;
045.28;2361-002;Stand de fati yoann;min?rales, vins, bi?res, liquoreux, cocktails;
648.05;2170-003;Stand de Wenger Tupan Anita;min?rales;Burgers
744.54;2200-002;Stand de Geissel Pascal;;
657.16;2496-002;La Patanne;;Patates en spirales
648.26;2125-007;Stand de Duong Khanh Hiep;;Sp?cialit?s Asiatiques
537.06;2559-002;Stand de Coco Tha? Cuisine;min?rales, bi?res;Sp?cialit?s Asiatiques
744.30;2561-002;Nach-Bar;min?rales, vins, bi?res, liquoreux;
744.24;2171-004;Stand de Bonnaval;;Churros
744.46;2183-022;L'Auberge d'Hauterive & Domaine Brunner;vins;Risotto, p?t? de chasse, dessert
615.25;2560-002;Zia Kurtos;;Confiserie, Kurtoskalacs sp?cialit? hongroise
657.20;2246-002;Paradis Kebab;min?rales, bi?res;Burgers, Kebab, Sandwich, Tacos
726.27;2569-002;Stand de aboulhassanesamia;min?rales;Sp?cialit? marocaine
615.06;2571-002;Stand Mendes;min?rales, vins, bi?res, liquoreux;Raclette
615.04;2520-002;Stand Qu?b?cois;min?rales, bi?res, liquoreux, cocktails;Sp?cialit?s qu?b?coises
726.15;2550-002;Saveurs Du Tibet;min?rales;Brioche Tib?taine
615.08;2571-002;Stand de chezmendes;min?rales, bi?res, liquoreux;Poissons, Frites
648.09;2570-002;Stand de lescrepesgourmandes;;Cr?pes, Sandwich, gaufres
744.10;2573-002;Stand de marketing;min?rales, vins, bi?res, liquoreux;Sp?cialit?s antillaises petits encas et desserts
276.06;2575-002;Stand de paul richeux;vins;Huitres/Vin Blanc, Fritures a base de Fromage
615.29;2568-002;Portes de Novembre by Maison Gilliard;min?rales, vins;
744.14;2580-002;Stand de hectorfmr;min?rales, bi?res, liquoreux, cocktails;Sp?cialit?s Am?rique latine
657.10;2581-002;Panares Gourmet;;Sandwich, Sp?cialit?s Am?rique latine, Burritos
627.17;2410-002;Stand de Cabanons;;
537.18;2588-002;La cabane ? cocktails;min?rales, vins, bi?res, cocktails;
726.05;2589-002;Tropical Pirate;min?rales, bi?res, liquoreux, cocktails;
726.21;2591-002;Stand de yumbab europe;min?rales, bi?res, liquoreux, cocktails;
792.04;2413-005;Stand de Tamara;;Cr?pes
726.04;2593-002;Pastef Neuch?tel;min?rales, vins, bi?res, liquoreux, cocktails;Sp?cialit?s Africaines
276.10;2587-002;Krishna Take-Away Indien S?rl;min?rales, vins, bi?res, liquoreux, cocktails;Sp?cialit?s Asiatiques, Specialit?s sri-lankaise
627.21;2410-003;Stand de Cabanons;;
657.04;2250-003;Stand de Yonten Tratsang;;Tib?tains
615.19;2595-002;EFFEMME DISTRIBUTION S?RL (o-caffe.ch);min?rales, liquoreux;
000.01;2077-002;CASHLESS VOIRIE;;
000.02;2077-003;CASHLESS LOUNGE TERROIR;;
537.24;2599-003;Stand de tapis marbre;;Churros, Cr?pes
000.03;2601-002;Stand de naveen begni;;
000.04;2077-004;CHRISTIAN JEAN;;
219.01;2495-002;Stand de contact;;
648.30;2554-002;Stand de gulselgormez;min?rales, bi?res;Kebab, hot dog frites
615.10;2603-002;Stand de Le Petit Train Rouge;;Burgers, Pizza
